"cc";"aggcode";"aggname";"typeofsensitivearea";"sizecat";"generatedload_10th";"generatedload_9th";"generatedload_delta";"connectedload_10th";"connectedload_9th";"iasload_10th";"iasload_9th";"dischargewithouttreatment_10th";"dischargewithouttreatment_9th";"gp_10th";"art3_10th";"art4_10th";"art5_10th";"art6_10th";"dtt3_10th";"dtt4t_10th";"dtt4p_10th";"dtt5t_10th";"dtt5p_10th";"gp_9th";"art3_9th";"art4_9th";"art5_9th";"art6_9th";"dtt3_9th";"dtt4t_9th";"dtt4p_9th";"dtt5t_9th";"dtt5p_9th";"flagginv";"flaggmeasures";"nb_uwwtp";"nb_uwwtp_conn";"nb_dcp";"near_natura2000_uww_impacted";"near_natura2000_uww_impacted_intensity";"wfd_ecologicalstatus";"wfd_chemicalstatus";"wfd_uwwtd_status_point_p11";"wfd_uwwtd_status_point_p12";"wfd_uwwtd_status_diffuse_p26";"spztype_catchmentOfSensitiveArea";"spztype_coastalSensitiveArea";"spztype_lakeSensitiveArea";"spztype_otherProtectedArea";"spztype_riverSensitiveArea";"spztype_transitionalSensitiveArea";"spztype_freshwaterFishDesignatedWater";"spztype_shellfishDesignatedWater";"spztype_drinkingWaterProtectionArea";"spztype_nitrateVulnerableZone";"score";"status";"x";"y"
"it";"IT03160121000134";"AG09802501_CRESPIATICA";"CSA;A54";1;2463;2463;0;2082;2094;0;0;381;369;"NC";"NC";"NC";"NR";"NR";381;0;0;0;0;"NC";"NC";"NC";"NR";"NR";369;0;0;0;0;0,59;"realizzazione fognature in varie porzioni del territorio";1;1;1;0;;"3";"2";0;0;0;0;0;0;0;0;0;0;0;0;0;;1;9,57;45,35
"it";"IT03160121000137";"AG01206401_DAVERIO";"CSA;A54";1;4084;4084;0;4084;4084;0;0;0;0;"NC";"C";"NC";"NR";"NR";0;0;4084;0;0;"C";"C";"C";"NR";"NR";0;0;0;0;0;;;1;1;1;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;8,76;45,76
"it";"IT03160121000139";"AG01706601_DELLO";"CSA;A54";1;3615;3615;0;3297;3326;318;289;0;0;"NC";"QC";"NC";"NR";"NR";0;0;3297;0;0;"C";"QC";"C";"NR";"NR";0;0;0;0;0;;;1;1;1;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;10,07;45,41
"it";"IT03160121000140";"AG09703001_DERVIO";"CSA;A54";1;6147;6147;0;5974;6024;0;0;173;123;"NC";"NC";"NC";"NR";"NR";173;0;0;0;0;"C";"C";"C";"NR";"NR";123;0;0;0;0;0,25;"realizzazione fognature in varie porzioni del territorio";1;1;1;0;;"3";"3";0;0;0;0;0;0;1;0;0;1;0;0;0;;1;9,30;46,07
"it";"IT03160121000142";"AG02002201_DOSOLO";"CSA;A54";1;3068;3068;0;2997;3007;0;61;71;0;"NC";"NC";"NC";"NR";"NR";71;0;0;0;0;"C";"C";"C";"NR";"NR";0;0;0;0;0;1,00;"nessun intervento";1;1;1;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;10,63;44,95
"ro";"ROAG_108482";"Poienile de Sub Munte";"NI";2;12352;14850;-2498;0;0;0;0;12352;14850;"NC";"NC";"NC";"NR";"NR";12352;0;0;0;0;"NC";"NC";"NR";"NR";"PD";14850;0;0;0;0;8,87;"Construction of the collecting system in Poienile de sub Munte and Repedea";0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;24,43;47,82
"it";"IT03160121000145";"AG01706801_EDOLO";"SA;CSA;A54";1;7601;7620;-19;7357;7391;244;229;0;0;"NC";"QC";"NC";"NR";"NR";0;7357;7357;0;0;"NC";"QC";"NC";"NR";"NR";0;7381;7381;0;0;;;1;1;1;0;;"2";"2";0;0;0;0;0;0;0;0;0;0;0;0;0;;1;10,33;46,17
"it";"IT03160121000146";"AG01707001_ESINE";"SA";2;35403;35746;-343;31541;32171;3862;3575;0;0;"NC";"QC";"NC";"NC";"NR";0;1073;1813;3367;3367;"NC";"QC";"NC";"NC";"NR";0;9759;12054;9852;9852;1,00;"interventi in corso di definizione";4;4;4;0;;"3";"2";0;0;0;0;0;0;1;0;0;0;0;0;0;;1;10,29;45,95
"it";"IT03160121000161";"AG02002501_GAZZUOLO";"SA";1;2376;2376;0;2376;2376;0;0;0;0;"NC";"C";"NC";"NR";"NR";0;0;2376;0;0;"C";"C";"C";"NR";"NR";0;0;0;0;0;;;1;1;1;1;2;;;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;10,56;45,07
"it";"IT03160121000166";"AG01207701_GOLASECCA";"SA";1;3628;3628;0;3628;3628;0;0;0;0;"NC";"C";"NC";"NR";"NR";0;0;2637;0;0;"NC";"C";"NC";"NR";"NR";0;0;2637;0;0;;;2;2;2;1;3;"2";"2";0;0;0;0;0;0;1;0;0;0;0;1;0;;1;8,66;45,69
"it";"IT03160121000167";"AG02002701_GONZAGA";"CSA;A54";1;8217;8216;1;8217;8216;0;0;0;0;"NC";"C";"NC";"NR";"NR";0;1323;1323;0;0;"NC";"C";"NC";"NR";"NR";0;1322;1322;0;0;;;1;1;1;0;;"4";"3";0;0;0;0;0;0;0;0;0;0;0;0;0;;1;10,81;44,95
"it";"IT03160121000176";"AG01807601_GROPELLO_CAIROLI";"CSA;A54";1;5345;5345;0;5345;5345;0;0;0;0;"NC";"C";"NC";"NR";"NR";0;28;28;0;0;"C";"C";"C";"NR";"NR";0;0;0;0;0;;;1;1;1;0;;"-1";"-1";0;0;0;0;0;0;0;0;0;0;0;0;0;;1;8,99;45,17
"it";"IT03160121000179";"AG02002801_GUIDIZZOLO";"SA";2;11294;11294;0;11231;11294;0;0;63;0;"NC";"C";"C";"NC";"NR";63;0;0;11231;0;"NC";"C";"C";"NC";"NR";0;0;0;11294;0;;;1;1;1;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;10,57;45,33
"it";"IT03160121000187";"AG01511501_LACCHIARELLA";"SA;CSA;A54";2;21790;21790;0;21790;21572;0;0;0;218;"NC";"C";"NC";"NC";"NR";0;105;105;0;0;"C";"C";"C";"C";"NR";218;0;0;0;0;;;1;1;1;0;;"4";"2";0;0;0;0;0;0;0;0;0;0;0;0;0;;1;9,13;45,34
"it";"IT03160121000191";"AG09704201_LECCO";"SA";2;61864;61864;0;61864;61864;0;0;0;0;"NC";"C";"C";"NC";"NR";0;0;0;61864;61864;"NC";"C";"C";"NC";"NR";0;0;0;61864;0;;;1;1;1;0;;"3";"2";0;0;0;0;0;1;1;0;0;0;0;0;0;;1;9,40;45,85
"it";"IT03160121000193";"AG01708801_LENO";"CSA;A54";2;12548;12548;0;12126;12172;422;376;0;0;"NC";"QC";"NC";"NC";"NR";0;9570;9570;0;0;"NC";"QC";"NC";"NC";"NR";0;9834;9834;0;0;;;2;2;2;0;;"3";"2";0;0;0;0;0;0;0;0;0;0;0;0;0;;1;10,21;45,36
"it";"IT03160121000202";"AG09803101_LODI";"SA";2;51608;51608;0;50406;50576;0;0;1202;1032;"NC";"NC";"NC";"NC";"NR";1202;0;0;0;0;"NC";"C";"NC";"NC";"NR";1032;0;50406;50406;50406;3,74;"realizzazione fognature in varie porzioni del territorio";1;1;1;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;9,49;45,31
"it";"IT03160121000204";"AG09704401_LOMAGNA";"CSA;A54";2;33893;33893;0;33812;33893;0;0;81;0;"NC";"C";"C";"C";"NR";81;0;0;0;0;"NC";"C";"NC";"NC";"NR";0;0;33893;0;0;;;1;1;1;1;3;"3";"3";0;0;0;0;0;0;1;0;0;0;0;0;0;;1;9,34;45,69
"it";"IT03160121000205";"AG01209001_LONATE_POZZOLO";"CSA;A54";3;373123;372923;200;365661;365465;7462;7458;0;0;"NC";"QC";"NC";"NC";"NR";0;0;365661;0;0;"NC";"QC";"C";"C";"NR";0;0;0;0;0;;;1;1;1;1;3;"3";"3";0;1;0;0;0;0;0;0;0;0;0;0;0;;1;8,79;45,65
"it";"IT03160121000207";"AG01209201_LUINO_VOLDOMINO";"CSA;A54";2;29290;29290;0;24167;24311;5123;4979;0;0;"NC";"QC";"NC";"NC";"NR";0;1766;1766;0;0;"NC";"QC";"NC";"NC";"NR";0;1766;1766;0;0;1,00;"interventi in corso di definizione";1;1;1;0;;"3";"3";0;0;0;0;0;0;1;0;0;1;0;0;0;;1;8,75;45,99
"it";"IT03160121000209";"AG01808401_LUNGAVILLA";"CSA;A54";1;3405;3405;0;3393;3405;0;0;12;0;"NC";"C";"NC";"NR";"NR";12;60;60;0;0;"NC";"C";"NC";"NR";"NR";0;60;60;0;0;;;2;2;2;0;;"4";"2";0;1;0;0;0;0;1;0;0;0;0;0;0;;1;9,07;45,04
"it";"IT03160121000212";"AG01709901_MAIRANO";"CSA;A54";1;3402;3402;0;3389;3402;13;0;0;0;"NC";"C";"NC";"NR";"NR";0;0;3389;0;0;"NC";"C";"NC";"NR";"NR";0;0;3402;0;0;;;1;1;1;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;10,08;45,45
"it";"IT03160121000215";"AG01710301_MANERBIO";"CSA;A54";2;19156;19028;128;18892;18838;264;190;0;0;"NC";"C";"NC";"NC";"NR";0;80;80;80;80;"NC";"C";"NC";"NC";"NR";0;264;264;80;80;;;1;1;1;0;;"3";"2";0;0;0;0;0;0;0;0;0;0;0;0;0;;1;10,13;45,34
"it";"IT03160121000216";"AG02003001_INTERCOMUNALE_MANTOVA";"SA;CSA;A54";2;85000;80822;4178;82552;79206;0;0;2448;1616;"NC";"NC";"NC";"NC";"NR";2448;0;0;0;0;"NC";"C";"C";"NC";"NR";1616;0;0;77217;0;0,00;"in corso revisione limiti agglomerato, con stalcio aree senza continuità dell'edificato";2;2;2;0;;"3";"3";0;0;0;1;0;0;1;0;0;0;0;0;0;;1;10,79;45,14
"it";"IT03160121000217";"AG02003103_MARCARIA";"CSA;A54";1;3017;3017;0;2730;2745;0;0;287;272;"NC";"NC";"NC";"NR";"NR";287;0;0;0;0;"NC";"NC";"NC";"NR";"NR";272;0;0;0;0;0,00;"in corso revisione limiti agglomerato, con stalcio aree senza continuità dell'edificato";1;1;1;1;2;;;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;10,61;45,07
"it";"IT03160121000218";"AG01710401_MARCHENO";"CSA;A54";1;4477;4414;63;4202;4149;275;265;0;0;"NC";"QC";"NC";"NR";"NR";0;4202;4202;0;0;"NC";"QC";"NC";"NR";"NR";0;4138;4138;0;0;;;1;1;1;0;;"3";"3";0;0;0;0;0;0;0;0;0;0;0;0;0;;1;10,21;45,71
"it";"IT03160121000219";"AG01314301_MARIANO_COMENSE";"CSA;A54";2;60000;60000;0;59952;59400;0;0;48;600;"NC";"C";"C";"C";"NR";48;0;0;0;0;"NC";"C";"C";"C";"NR";600;0;0;0;0;;;1;1;1;1;3;"-1";"2";0;1;1;0;0;0;0;0;0;0;0;0;0;;1;9,17;45,73
"it";"IT03160121000224";"AG01808801_MEDE";"CSA;A54";2;23686;23686;0;23627;23686;0;0;59;0;"NC";"C";"C";"C";"NR";59;0;0;0;0;"NC";"C";"C";"C";"NR";0;0;0;0;0;;;1;1;1;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;8,72;45,11
"it";"IT03160121000225";"AG01400501_MEDIAVALLE_ARDENNO";"CSA;A54";2;24000;24000;0;24000;24000;0;0;0;0;"NC";"C";"NC";"NC";"NR";0;4073;4073;5573;5573;"NC";"C";"NC";"NC";"NR";0;4073;4073;5573;5573;;;7;7;7;0;;"3";"2";0;0;0;0;0;0;0;0;0;0;0;0;0;;1;9,72;46,16
"it";"IT03160121000226";"AG01406501_MEDIAVALLE_TEGLIO";"SA";2;22091;22091;0;22091;22091;0;0;0;0;"NC";"C";"NC";"NC";"NR";0;890;890;890;890;"NC";"C";"NC";"NC";"NR";0;890;890;890;890;;;1;1;1;1;3;"3";"2";0;0;0;0;0;0;0;0;0;0;0;0;0;;1;10,10;46,18
"it";"IT03160121000228";"AG01314501_MENAGGIO";"SA;CSA;A54";2;13242;13242;0;13196;13242;0;0;46;0;"NC";"C";"NC";"NC";"NR";46;11;13196;0;13185;"NC";"C";"NC";"NC";"NR";0;11;13242;0;0;;;1;1;1;1;2;"3";"3";0;0;0;0;0;0;1;0;0;1;0;0;0;;1;9,22;46,00
"it";"IT03160121000230";"AG01514601_MILANO";"CSA;A54";4;2228572;2228573;-1;2228572;2228573;0;0;0;0;"NC";"C";"C";"NC";"NR";0;0;0;0;182520;"NC";"C";"C";"NC";"NR";0;0;0;0;182520;;;3;3;3;0;;"4";"2";0;1;0;0;0;0;0;0;0;0;0;0;0;;1;9,17;45,47
"it";"IT03160121000231";"AG01809302_MIRADOLO_TERME";"CSA;A54";1;2924;3163;-239;2919;3163;0;0;5;0;"NC";"C";"NC";"NR";"NR";5;1276;1276;0;0;"NC";"C";"NC";"NR";"NR";0;1515;1515;0;0;;;1;1;1;0;;"3";"3";0;0;1;0;0;0;0;0;0;0;0;0;0;;1;9,44;45,17
"it";"IT03160121000236";"AG01210401_MONVALLE";"SA";2;15996;15996;0;12314;12317;3682;3679;0;0;"NC";"QC";"NC";"NC";"NR";0;43;43;12314;43;"NC";"QC";"C";"NC";"NR";0;0;0;12271;0;1,00;"interventi in corso di definizione";1;1;1;0;;"-1";"-1";0;1;0;0;0;0;1;0;0;1;0;0;0;;1;8,63;45,86
"it";"IT03160121000237";"AG01514901_MONZA";"SA";3;690789;690789;0;690029;690789;0;0;760;0;"NC";"C";"C";"NC";"NR";760;0;0;0;690029;"NC";"C";"C";"NC";"NR";0;0;0;690789;690789;;;1;1;1;1;3;"4";"3";0;1;0;0;0;0;0;0;0;0;0;0;0;;1;9,26;45,63
"it";"IT03160121000245";"AG02003701_MOTTEGGIANA";"CSA;A54";1;2325;2325;0;1923;1930;0;0;402;395;"NC";"NC";"NC";"NR";"NR";402;9;0;0;0;"NC";"NC";"NC";"NR";"NR";395;0;0;0;0;0,00;"in corso revisione limiti agglomerato, con stalcio aree senza continuità dell'edificato";3;3;3;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;10,76;45,03
"it";"IT03160121000251";"AG09705601_NIBIONNO";"SA;CSA;A54";2;42869;42869;0;42230;42440;21;0;617;429;"NC";"C";"NC";"NC";"NR";617;124;124;0;0;"NC";"C";"C";"NC";"NR";429;0;0;42106;0;;;1;1;1;1;3;"4";"3";0;1;0;0;0;0;1;0;0;0;0;0;0;;1;9,26;45,74
"it";"IT03160121000253";"AG01712001_NUVOLERA";"CSA;A54";2;19936;19829;107;18941;19036;995;793;0;0;"NC";"QC";"NC";"NC";"NR";0;17057;17057;0;0;"NC";"QC";"NC";"NC";"NR";0;17154;17154;196;196;;;2;2;2;0;;"3";"2";0;0;1;0;0;0;0;0;0;0;0;0;0;;1;10,39;45,55
"it";"IT03160121000255";"AG01210801_OLGIATE_OLONA";"CSA;A54";2;91774;91774;0;91774;91774;0;0;0;0;"NC";"C";"NC";"NC";"NR";0;0;91774;0;0;"NC";"C";"C";"C";"NR";0;0;0;0;0;;;1;1;1;0;;"5";"2";0;1;0;0;0;0;0;0;0;0;0;0;0;;1;8,88;45,64
"it";"IT03160121000258";"AG01517001_OLONA_SUD";"CSA;A54";3;453043;453043;0;453043;453043;0;0;0;0;"NC";"C";"NC";"NC";"NR";0;906;906;0;0;"NC";"C";"C";"C";"NR";0;0;0;0;0;;;1;1;1;0;;"5";"2";0;1;0;0;0;0;1;0;0;0;0;0;0;;1;9,06;45,56
"it";"IT03160121000262";"AG01210901_ORIGGIO";"CSA;A54";2;51602;51602;0;51602;51602;0;0;0;0;"NC";"C";"NC";"NC";"NR";0;0;51602;0;0;"NC";"C";"C";"C";"NR";0;0;0;0;0;;;1;1;1;0;;"5";"2";0;1;0;0;0;0;0;0;0;0;0;0;0;;1;8,98;45,65
"it";"IT03160121000263";"AG01615001_ORIO_AL_SERIO";"CSA;A54";1;3986;3986;0;3986;3986;0;0;0;0;"NC";"C";"NC";"NR";"NR";0;0;3986;0;0;"C";"C";"C";"NR";"NR";0;0;0;0;0;;;1;1;1;0;;"3";"2";0;0;0;0;0;0;0;0;0;0;0;0;0;;1;9,69;45,66
"it";"IT03160121000267";"AG09706101_OSNAGO";"CSA;A54";2;35864;35864;0;35825;35864;14;0;25;0;"NC";"C";"C";"C";"NR";25;0;0;0;0;"NC";"C";"C";"C";"NR";0;0;0;0;0;;;1;1;1;0;;"3";"3";0;0;0;0;0;0;1;0;0;0;0;0;0;;1;9,40;45,69
"it";"IT03160121000270";"AG01906401_OSTIANO";"SA;CSA;A54";1;3320;3320;0;3320;3287;0;33;0;0;"NC";"C";"NC";"NR";"NR";0;28;28;0;0;"C";"C";"C";"NR";"NR";0;0;0;0;0;;;1;1;1;1;2;"3";"2";0;0;0;0;0;0;0;0;0;0;0;0;0;;1;10,25;45,22
"it";"IT03160121000274";"AG01713301_PALAZZOLO";"SA";2;21316;21316;0;21150;21316;166;0;0;0;"NC";"C";"NC";"NC";"NR";0;0;21150;0;21150;"NC";"C";"C";"NC";"NR";0;0;0;0;21316;;;1;1;1;0;;"3";"2";0;0;0;0;0;0;0;0;0;0;0;0;0;;1;9,89;45,59
"it";"IT03160121000278";"AG01811001_PAVIA";"CSA;A54";3;113732;113732;0;113459;113732;0;0;273;0;"NC";"C";"NC";"NC";"NR";273;250;250;250;250;"NC";"C";"NC";"NC";"NR";0;432;113732;432;432;;;1;1;1;1;3;"4";"2";0;0;0;0;0;0;1;0;0;0;0;0;0;;1;9,15;45,20
"it";"IT03160121000287";"AG01811301_PIEVE_DEL_CAIRO";"CSA;A54";1;2009;2009;0;2009;2009;0;0;0;0;"NC";"C";"NC";"NR";"NR";0;0;2009;0;0;"C";"C";"C";"NR";"NR";0;0;0;0;0;;;1;1;1;0;;"-1";"-1";0;0;0;0;0;0;0;0;0;0;0;0;0;;1;8,80;45,04
"ro";"ROAG_22399";"Dofteana";"NI";2;11718;12560;-842;0;0;0;0;11718;12560;"NC";"NC";"NC";"NR";"NR";11718;0;0;0;0;"NC";"NC";"NR";"NR";"PD";12560;0;0;0;0;2,23;"Rehabilitation / upgrading of sewage networks";0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;26,52;46,32
"it";"IT03160121000290";"AG01907602_PIZZIGHETTONE";"SA";1;6992;6992;0;6980;6782;12;210;0;0;"NC";"C";"NC";"NR";"NR";0;8;8;0;0;"NC";"QC";"NC";"NR";"NR";0;60;60;0;0;;;1;1;1;0;;"3";"3";0;0;0;0;0;0;0;0;0;0;0;0;0;;1;9,78;45,19
"ro";"ROAG_73745";"Poiana Mare+Tunarii Vechi";"NI";2;11705;13347;-1642;0;0;0;0;11705;13347;"NC";"NC";"NC";"NR";"NR";11705;0;0;0;0;"NC";"NC";"NR";"NR";"PD";13347;0;0;0;0;4,53;"Construction of the collecting system with 26,444 Km";0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;23,06;43,92
"it";"IT03160121000291";"AG02004201_POGGIO_RUSCO";"CSA;A54";1;7307;7307;0;6671;6722;0;0;636;585;"NC";"NC";"NC";"NR";"NR";636;0;0;0;0;"NC";"NC";"NC";"NR";"NR";585;0;0;0;0;1,00;"nessun intervento";1;1;1;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;11,10;44,97
"it";"IT03160121000296";"AG01714901_PONTEVICO";"SA";1;7666;7664;2;7596;7664;70;0;0;0;"NC";"C";"NC";"NR";"NR";0;439;439;0;0;"NC";"C";"NC";"NR";"NR";0;439;439;0;0;;;1;1;1;0;;"3";"3";0;0;0;0;0;0;0;0;0;0;0;0;0;;1;10,10;45,27
"it";"IT03160121000299";"AG02004501_PORTO_MANTOVANO";"SA";2;17015;17015;0;16874;17015;0;0;141;0;"NC";"C";"C";"NC";"NR";141;0;0;0;7124;"NC";"C";"C";"NC";"NR";0;0;0;16874;7124;;;2;2;2;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;10,78;45,19
"it";"IT03160121000302";"AG01715201_PRALBOINO";"CSA;A54";1;3712;3676;36;3635;3602;77;74;0;0;"NC";"QC";"NC";"NR";"NR";0;383;383;0;0;"NC";"C";"NC";"NR";"NR";0;383;383;0;0;;;1;1;1;0;;"-1";"-1";0;0;0;0;0;0;0;0;0;0;0;0;0;;1;10,21;45,26
"it";"IT03160121000305";"AG01715901_QUINZANO_D_OGLIO";"SA;CSA;A54";1;6724;6706;18;6411;6438;313;268;0;0;"NC";"QC";"NC";"NR";"NR";0;168;6411;0;0;"NC";"QC";"NC";"NR";"NR";0;169;6225;0;0;;;2;2;2;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;10,00;45,31
"it";"IT03160121000307";"AG02004801_REDONDESCO";"CSA;A54";1;8223;8223;0;7773;7812;0;0;450;411;"NC";"NC";"NC";"NR";"NR";450;0;0;0;0;"NC";"NC";"NC";"NR";"NR";411;0;0;0;0;1,00;"interventi in corso di definizione";1;1;1;0;;"3";"3";0;0;0;0;0;0;0;0;0;0;0;0;0;;1;10,54;45,21
